sentiment,review_body,product_category
0,Love this blouse  however upon every time i wear it  a new button pops off. i have had to replace every button!,Blouses
0,This is such a cute design  but it's so short! it barely hits at my hips. you'd have to wear a layer under it to keep your tummy from being exposed. i'm also not thrilled with the buttons - i am a 34c bra size and the second button was gaping open on the size 4 top. i wish they'd been sewn shut - the neckline is so big  it's not like the buttons need to function. i got the burgundy with pink flowers and the colors are great. too bad it's so short and gapes open at the bust. going back.,Blouses
0,This top is not for a curvy figure. the embroidered part is gorgeous  very stunning  but the loose bottom part is awful. i am curvy and usually wear l or xl. this top was fitted at the top but very loose at the bottom  made me feel like i had a big tummy  and was a tad short. i am sending this back. this would look better on a more slender frame.,Blouses
0,Beautiful well made top.it just runs small not for me,Blouses
0,This is a beautiful and well-made top; sadly it just didn't work for me. i'm 5'1 with a pretty short waist and even on me it was too short. the shortness might've worked if it wasn't as baggy as it was. i don't mind baggy  loose-fitting tops  but this was so much so that it was just unflattering; it looked a bit boxy as well.,Blouses
0,"This shirt is not awful but not anything pretty. there's a reason the main photo has the model with her arms crossed over the waist! it runs good on top and then you get to the body of the garment and it runs straight down yet the pleats even make it manage to expand a little but then you get to the lovely detailed hem which reins them in. so now you are left with a bit of a poof effect making you rounder in all the wrong ways. it's one of those  ""i'm too lazy to send it back it's not that awful",Blouses
0,This item states you should wash in cold water and tumble dry low heat. it shrunk after first wash in cold water and i didn&#39;t even use the dryer. do not wash. real bummer..,Blouses
0,Beautiful - ordered a s  i wear a 2 in most retailer items. hand washed in cold water  shrunk inches  yes inches! love maeve clothing  this shirt is gorgeous. before hand washing in the sink  it was large and flowy. now it barely fits.,Blouses
1,This top is just adorable. i'm usually between an xs and a small and i went with the small and it's a little more roomy. i wanted it to be long enough. the colors are beautiful and it's a must have.,Blouses
1,This top is a lot more striking in person. on  it's quite stunning. it is a tad short but that's part of the aesthetic and i don't find it unflattering. however  the first time i wore it one of the black rope/thread details disintegrated and fell apart. i tried to reinforce the end and reattach it but it just came apart again. i understand the nature of the top makes it more delicate  but this was definitely disappointing. i mentioned it when i went back into the store and the sales girl sympath,Blouses
1,I love this top and the relaxed fit. can be dressed up or down. i bought the bird print and liked it so much i purchased the umbrella print. now i'm contemplating getting the mixed dot! easy to just throw on with anything and the mix of colors keeps it versatile too!,Blouses
1,Thicker than you think...the colors are gorgeous and remind you of the changing of the seasons. can not wait to wear when the weather gets cooler. retailer did not disappoint. plan to purchase in other color soon.,Blouses
1,The colors on this blouse are beautiful and even more vibrant in person. i love that the blouse is lightweight  perfect to wear to any holiday gathering!,Blouses
1,This has been my go to top for cooler days  so comfortable and soft. i would say it runs tts with a little bit of a lose fit. i am 5'10  36c and usually wear s and the s fit me well. i could have gone down in size  but liked this to be a bit loser to wear over skinny jeans and leggings.,Blouses
1,I adore this shirt. like a previous reviewer  the shirt runs a little small in the bust. i got a 6 instead of my typical 4 and it looks great. the quality is great and the color is lovely. the feel of the fabric is nice substantial weight.,Blouses
1,I love the print on this. love. and the fit  for a swing blouse  was super flattering! typically i haven't found that to be true  but this one is so nice! i loved it so much  but i just couldn't find a ton of outfits to wear with such a unique piece. i have been trying to slim my closet so i did return this  but perhaps would purchase it on sale (to justify wearing it less). i typically wear a 4 in tops and dresses and took an xs.,Blouses
1,I wanted to get a couple tops for date nights that went well with skinny jeans and this hit the mark! as mentioned before  this top is translucent and thus would recommend using a cami as well. however the embroidery is beautiful. i have not had it cleaned yet and thus cannot comment on the durability. can't wait to wear it out.,Blouses
-1,"The dress is beautiful on the model. in person it's sheer  but i could have dealt with that if the fit had been great. i am 5'4"" and the petite was too short and the regular too long. both are very boxy and seem to run big. even the size small in both petite and regular were too big on me and usually in cloth and stone size small is perfect. i really wanted to love this dress but ended up returning several sizes in my attempt to find the perfect size.",Dresses
-1,I was looking for a dress for playing cello at my friend's wedding. the colors looked perfect  the cut was great  etc. very disappointed to find out how sparkly and scratchy the dress was in person  and sad that the slit came right to my knee  which is a really weird height. sadly returning - might purchase again if it goes on sale and i can't find anything better before the wedding :(,Dresses
-1,I found that this dress ran very small. i am true 8  ordered a 10 and it was snug,Dresses
-1,"The review above titled ""so disappointed"" couldn't have said it any better. the dresses from last year are perfect. i probably wear them at least once a week. i was so excited to see this vibrant blue color and fully expected the same quality as last year. i'm generally an xs or s in dresses (however i have xxs from last year's version)  and the xs in this one is lifeless. it's heavy  hot  doesn't have the same nice shape as last year. i may cut out the integrated lining just to lighten the dres",Dresses
-1,Really wanted to love  the top was very flattering and loved the material: very swingy and forgiving. but way to much material  i was drowning in it. sized down to x small but no go.,Dresses
-1,I agree with all of the reviews. the design and fit are wonderful if you can get it on.! the buttons are a nightmare! whoever made these clesrly sewed the loopholes on the buttons closed with no thought as how to open them or get them off. ridiculous! they need to put a side zipper on this as i will probably check into since i really want to keep it. so so so disappointing,Dresses
-1,I ordered this dress in a size 8  my normal size at retailer. it is a lovely dress and so feminine  but it is incorrectly sized. i couldn't begin to button it. i reordered it in size 12 if that tells you anything. buyer beware. unless you are itsy bitsy  you need to size up. i will say that as pretty as the photos are  the dress is even more lovely in person.,Dresses
-1,"Since this sold out so fast i ordered an xsp which is too short (i'm 5'5"")  it also is too big! the empire waist has no shape or flatter  the sleeves are huge  the neckline was falling off my shoulder  i put it on and instantly knew this was all wrong.   the print is very fun and my guess is that's what is attracting everyone to it.  it looked like a big floppy mess of cute fabric on me.  back it goes.",Dresses
-1,I bought this dress to wear to an out of state wedding. first time wearing  when i tied the strap  the pull through at the top of the halter broke with minimal stress. i sewed it back with a repair kit from the hotel but was worried the whole night the dress would not hold up. if this is all that is holding the dress on  it should be more secure with reinforced stitching. beautiful material and comfortable.,Dresses
0,This fit well  but the top was very see through. this never would have worked for me. i'm glad i was able to try it on in the store and didn't order it online. with different fabric  it would have been great.,Dresses
0,"I was really excited to receive this dress but was disappointed that it really wasn't that special. i'm 134 lbs  5'5"" and i ordered a regular size s and it did fit. i prefer my dresses right above my knees but this was probably 2 inches above the knees. it just wasn't that flattering nor worth the price. i expected to be wowed but wasn't!",Dresses
0,Cute dress to throw on and go. fits pretty true to size except for the slip underneath. it's a little tight and i felt to short for the dress. i ended up wearing a full slip i had under it and that work great!,Dresses
0,In my opinion  for this amount of money  the dress needs to be something really different. and this one isn't. it has several structural issues and it seems to have a split personality (summery material  dark color  flirty and fun...but overly conservative up top.)  initially  the top portion is extremely sheer. you're saved (a bit) by the extra fabric at the front  but it still seemed odd that the top isn't lined - particularly for a dress meant for winter.  there's too much going on up top. th,Dresses
0,This dress had so much promise from the picture. i loved the midi length  color  and fascinating waist detail. i ordered online  so there was no way to try on before purchasing. the fit was disappointing. it fell in an unflattering manner at every point; a tad too low at the waist; a tad too long at the shin. just kind of saggy all around. bummed  but this is not to say it wouldn't fit someone with a different body shape better. the quality of fabric is nice  and the color is lovely.,Dresses
0,The details on this dress are lovely. the embroidery is wonderful. but the fit on this dress is just not for me. it is very baggy and shapeless. it doesn't have any curves at all so it just drapes down me and looks formless. really unflattering. sad but it's going back.,Dresses
0,I so badly wanted this dress to work for me. the material and color is so beautiful. this had a 'sack like' fit and the side pockets accentuated my hips giving me a broader look than i would like.,Dresses
0,I was so excited when this dress went on sale.  it is very soft and the print is so distinctive.  it is super comfy but not slimming or flattering at all.  i am a curvy girl   wear a medium 8/10 and this made me look so wide!  the skirt is quit full   a small would have fit but the top was tight.  so disappointing.,Dresses
0,The dress had great potential  but the top sagged and made the dress look unflattering on me. unfortunately  i had to return it. the length was great  and the back and sides of the dress were nicely tailored and flattering. perhaps this would fit someone else better - i have a 34b/34c bust  and it didn't work for me.,Dresses
1,"Like many of the other reviewers  i thought this ran a little big. i am a 5'5""  110lb pear and xs was perfect - i also ordered the small to be sure. it is not quite as close to the body as the picture. the color is gorgeous and saturated. it hits me mid thigh in a good way. the fabric is crepe on the outside and silky on the inside and it has a beautiful  high quality drapey-ness. it is unlined but not see through. it arrived wrinkled and sad  but a warm dry iron really brought out how gorgeous",Dresses
1,Just received this dress and i am in love! the colors are beautiful- perfect for both summer and fall. the fabric is very soft and the fringe detail adds a nice feminine touch. i was disappointed when i missed out on the first fringe stripe shift dress from holding horses at the beginning of this summer. it was completely sold out in my size 0. however when i saw they restocked the dress in a new color (and now lined yay!) i had to buy it. would defin recommend!!,Dresses
1,This is the most comfortable dress ever! it's so soft. i typically wear a size small and this fits true to size. it is long enough to wear to work  which i love. it looks great w flats in the summer and it's going to look great w boots!,Dresses
1,I really wanted to like this since i've purchased previous byron lars dresses and have never not been complimented on them. however  the picture on this one is misleading. the colors are extremely bright  which on my pale skin makes me look washed out. for example  the border on the collar is actually more hot pink where in the picture here it appears almost white. the brightness and business just didn't work on me. that being said it still fit like a glove. 5'11 and 145 pounds and the size 4 wa,Dresses
1,I purchased the green dress. it is very comfortable and soft. is as pictured. highly recommend for a casual everyday dress. looks like good quality. which it is. i ordered petite small. it is perfect size. i'm usually a 6p.,Dresses
1,The dress is very comfortable and the fit is very flattering. i really like the colors and the design. the only con is that it isn't lined.,Dresses
1,"This dress is beautiful and very flattering! i bought the 8 and am 5'3"" and 138lbs. it fits right at the knee and is flowy  but still gives some shape without looking baggy. i love it!",Dresses
1,"The print on this is gorgeous  and it's incredibly comfortable. ultimately  i didn't buy it because the length was weird for me (i'm 5'7""); it just looked strange  like it was cutting me off at a weird point.",Dresses
1,I am a size  14  and tall.  i was afraid that it would be too short.  the sales clerk grabbed a large   and it fit! it's airy and lightweight and hugs nicely around the back.  the big surprise?  pockets! love it!,Dresses
-1,The photo misrepresents how large this sweater is. it is giant! petite ladies stay away from this sweater. i ordered an xs and usually can manage to fit in a regular xs  but this just floored me. the neckline wouldn't even stay up on my upper body  it was that loose. also the width of the sweater does not at all hug the body as shows on the model. it is like a tent. i'm so bummed. the color blue is nice and the sweater is really soft. it's too bad it doesn't fit smaller women.,Fine gauge
-1,The fit of this sweater did not flatter my body-type. the top half did not fit well; the armpit area was loose fitting and the neckline was awkward.,Fine gauge
-1,Really wanted to luv this top buttt it ran small in arm length & in the front  bottom...backside was perfect coverage...also most important this top is see-through! item as pictured is not accurate!,Fine gauge
-1,"Wanted to love this sweater for its beautiful colors and cute graphic  but the fit is uncomfortably small and it is so itchy i was yelling  ""get it off"" in the fitting room. bummer.",Fine gauge
-1,As soon as you get up close to this sweater  you will notice that the bird on the front is of an interesting kind of material-almost like carpet that has been shaved waaaaaaaay down so that the little fibers are sticking straight up and a fraction of a millimeter high. i was not excited about this texture and can imagine it will be a huge magnet for collecting lint and dust throughout the day. the fit was way off on this one for me and was not flattering at all. it wasn't for me at all even thou,Fine gauge
-1,Seemed pretty shapeless which surprised me because of the design. perhaps it was just too big. returned it.,Fine gauge
-1,I usually wear a size medium in angel of the north but this was very small. i would need to have ordered a size large or xl to have it fit. pretty but returning.,Fine gauge
-1,Loved the look of the sweater and the the fit was as shown.  however this is a thin cashmere for the price.  returned.,Fine gauge
-1,On me  this top is totally frumpy and boxy. i am 5'9  34dd and the bottom hung on me like a bedskirt. not fitted at all. i ordered a large--not being sure of fit. i have a flat stomach and it just hung....yuck. honestly  for the price and fit  i wouldn't consider a medium. i think it would a tad better but not worth the price.,Fine gauge
0,Love the design with the buttons down the back but unfortunately this did not work for me. the colors were brighter than shown on the website which was my first disappointment  i prefer more muted colors. the second disappointment was the material. for me it was just too itchy. unfortunately  this one's going back.,Fine gauge
0,Top is well made. runs large the arm holes were too big and sagged under my arms showing my bra. go a size smaller than your normal size.,Fine gauge
0,I loved this at first....but the quality is awful! it pilled like crazy and started to get little holes near the neck after 4-5 wears. second sweater from retailer this year with severe pilling issues. i love retailer  but will never again buy another sweater here.,Fine gauge
0,I really like the color of this and the feel  but that is where it ends. it does not come with the gorgeous flattering belt that it is pictured with  and is cut without shape so it does not fit to your body and show off any glorious womanly curves. i could purchase the belt with it  but i don't prefer to purchase products that cannot stand on their own.,Fine gauge
0,I'm not much for ponchos  but this one looked unique. it is thin  kind of a felt material - that was expected - but i was surprised to find it was shorter at waist than how it appears online   and it was wide horizontally. the colors were more muted and the design was slightly off center unlike pic. the turtleneck was thick and itchy. it was a return.,Fine gauge
0,"While i loved the sleeves on this sweater (the lace detailing was beautiful) the core area was really big. i agree with another reviewer who said it looked like a maternity top. i was hopeful but i sent it back. i am 5'7""  128lb and ordered the small.",Fine gauge
0,I agree with the other reviewers; this sweater was strangly shaped in the waist  in an unflattering way. the rest of it was beautiful though. looks too much like maternity  even in a petite xs  so it's going back.,Fine gauge
0,Love the design and the gold color  but the seams between knit and lace were a little weird and bunched/weren't smooth. maybe the one i tried on just needed to be ironed or something...,Fine gauge
0,This thing sheds so much it's almost unuseable but i used an entire roll of sticky roller and got it to the point where i could wear it with only a glob of fuzz on my underwear not other people's couches. it's cute and fits well other than that. buy a sticky roller!,Fine gauge
1,"I've been looking for a mid-weight  shrug-on cardigan for a while now and i've finally found the one! as a petite (5'4""  130 lbs) lady with big boobs  i hate clingy cardigans with buttons since they are just so unflattering.     luckily this cardigan is warm without being stifling  fitted in the sleeve without being impossible to wear over clothes with different-length sleeves  and perfectly cut to slim even thought it is shrug-y. i especially like the back details  which are even more curve-fla",Fine gauge
1,I love the sweater online and even more in person! i paired it with a long sleeve top with a bell sleeve and it looked great!! very bohemian look!,Fine gauge
1,"When i saw this sweater  it made me think of the 70's chic trend thats very now but due to the colors (my favorite tones) it would be something i would be reaching for for years to come. i love it combined with jeans but i also worse it over a dress (see photo) - i am wearing it over corey lynn calter floral dress ""paeonia dress""  and i paired it with the ""rosebud layered necklace"". i got two of this sweater as i want to have one for when i wear the first one out :) i am 5'6""  127 and even thoug",Fine gauge
1,"Purchased this sweater in an xs  grey pattern (for reference  5'4""  small frame) and was worried it would be too overwhelming. this is not the case! the pattern is the perfect scale and the sweater hit just right. it seems to be true to size. i especially love the bracelet length turned back sleeves. it's a little pricey  but i think it will be worth it because it is so different!",Fine gauge
1,I'm happy with this sweater! a few things that may help others: 1) the detail on the yoke is made from a silky taupe-colored fiber  2) it is ivory  not white and 3) although the fit is true to size  the sweater runs short  so if you prefer a longer fit you may want to size up.,Fine gauge
1,I ordered this top in the purple color and was pleasantly surprised that it was more of a soft periwinkle. the weave is quite open and sheer which is what i had hoped for. the fit is great and the bottom flows quite flatteringly. overall the sweater is soft and very feminine  but careful  it snags easily.,Fine gauge
1,I love this tunic. i am 22 weeks pregnant and the large fit great. i wish it were a little longer but will be great with leggings and perfect for the fall/winter seasons.,Fine gauge
1,Soft and cozy  the orange is vibrant  the green is more subtle and has gray tones. usually wear a small  bought the xxs ! too full and too sloppy in the xs ad small.,Fine gauge
1,I ordered this for the colors  and modern geometric design. colors are as shown. a beautiful combination that works well with blue jeans  and my burgundy flats. it's casual and soft enough to wear all day. i wore it to the beach  then out to dinner the same evening! oh... i spilled red wine on it at the beach  and couldn't wash it until the next day. i used dawn dish detergent and hydrogen peroxide on the spots  then laundered in the washer on hot and they came out  completely. i air dried  and,Fine gauge
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,"Loved how this draped and im super petite 5'1""(32b bust) and this was seriously one of the most ill fitting items i have every owned. i purchased the pxs and it was huge. i hope this has a better fit as the other reviewers seem to have a more positive review. i was just appalled as to how bad the measurements were off. unfortunately the straps are not adjustable so this went below my chest. too sad retailer  please get the fit right!!",Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,You have to be a contortionist to get this bra on. it slips over your head and i needed my 8yo daughter to help me pull it down past my elbows. ridiculously impractical. why oh why didn't heather give it a hook and loop closure instead?,Intimates
-1,The first time i wore this tank it started pilling around the arms and down the sides. it is terribly quality  and gets worse with every wear and wash. possibly the worst wear on a new clothing item i've ever seen. like the design and fit  immediately relegated it to a weekend/home shirt because it was unprofessionally pilly and the pills are small so can't be shaved off.,Intimates
-1,Material is strange. triangle top is funky. this is just not awesome in any way.,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color  it's really pretty! just go up a size or two if anything and try it out.,Intimates
0,I ordered this in black and white  thinking you can never have enough silk camisoles.     i returned the black because it looked like polyester. the white is actually a cream/ivory  not bright white as pictured. it is also not the best feeling quality  however the fit is good  and true to size.,Intimates
0,When ordering this product  i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however  these run small and i see why the medium ran out. they are pretty  however  i wish they made them more true to size.,Intimates
0,I wanted to love these because they are so pretty and come in lots of colors  but after only a few minutes of wearing them  i was having to pull them out of my bottom! why does women's underwear so frequently ride up? i normally wear a size 4/28  and ordered these in a m  but i guess they were still too small  which seems unreasonable to me. they are soft and pretty  but i will not be ordering more.,Intimates
0,Got this in the mail today and while the design is cute  it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.,Intimates
0,As a petite  big busted woman  i found this dress wildly unflattering. the quality and pattern of the dress itself is beautiful  though it will require a slip as it is completely transparent. the design of the bust however  i found unflattering.,Intimates
0,"The fit is gorgeous  but i didn't realize it was completely transparent. when it says ""mesh"" it means ""mesh""! i was thinking the ""mesh"" part was on the bottom. because of how it is cut  high on the shoulders  you can't wear a cami underneath to provide coverage. very cute  but not practical.",Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
1,This bra is so well made and fits beautifully.,Intimates
1,Love this chemise. perfect blend of comfort and sexy. i bought it in pink  size small. i'm a 32d about 115 lbs and if fit perfectly  i could even probably go to an xs  but i didn't want to wait. the fabric is super soft and the color is vibrant. looks exactly like the picture. decent price.,Intimates
1,I'm a 32dd  so i wouldn't normally wear a bralette out of the house (not enough support). this bralette is actually very supportive and comfortable. i'm probably going to get at least one more. for reference  i'm a 32dd (small back  big boobs) and a small fit me extremely well.,Intimates
1,"I purchased this in the black and received it today.  it is silky feeling and is a quality camisole.  the color is a muted black  not all shiny as some silks are (and they often look cheap) but this looks great and could be worn alone  under leather  or with a sweater/kimono.  i usually wear a medium in tops  and this fit true to size.  i am 5'2"" and it doesn't look too long  but i do wish it came in a petite.  still keeping it!",Intimates
1,Cute layered cami. great colors for summer or fall. very light fabric  tends to get a bit staticy. shorter in the back than expected but a good versatile top,Intimates
1,This bra is extremely comfortable and surprisingly supportive considering the lack of padding or firm material. it also runs large.,Intimates
1,This is different from any bra i've had before  in a good way. the lace over the front is really beautiful  and no annoying straps means it's comfortable! fit and support are both great. i didn't notice that it was silk when i ordered  so it was a nice surprise to open something so luxe and elegant. i wasn't expecting an underwire  either  based on the s-m-l sizing  but it has one.,Intimates
1,I typically wear an xs to s in tops and purchased an xs for a less flowy fit.  this top has a luxurious feel and the green color is really beautiful (more matte than shiny).  perfect piece to wear under a jacket or blazer.,Intimates
1,Love love love this pair of underwear (yes  i'm writing this about underwear). they're comfortable  flattering  and no vpl (visible panty line) without having to wear a thong.,Intimates
-1,This jacket has cute details. i like the front pockets and color. it has no shape and is about 1 size bigger than marked. i felt like a sack of potatoes in it.,Jackets
-1,I'm returning this jacket. i tried it on after it was delivered  and was happy with the weight  cut  and color  although it's more dusty mauve than it looks in the picture. however  the stitching and the zipper are of such poor quality that i doubt  it will last very long. i actually can't get the zipper to zip at all. it's very rough and lightweight  and i'm afraid if i keep trying to force it i'll just end up breaking it. sorry to say yet another retailer item turns out to be poor quality.   thi,Jackets
-1,I was really excited for this jacket to arrive but it's going back. because the fabric is coated  it does not drape or hang nicely at all. i expected it to be boxy but it sticks out so oddly in every direction that it looks horrible. i'm usually an xs and ordered an xs and it looks ridiculous on me.,Jackets
-1,I wanted to love this  but instead of being a flowy kimono top as pictured- it was a thick blazer type garment. not at all what is pictured here unfortunately. also it was much shorter than pictured and i am only 5'4''.     love most retailer styles  but this one was a miss and a return.,Jackets
-1,"The fit is so bad and the construction is very poor. i'm 5'1''  100 lbs  ordered xxs petite.     first of all  when i button this  there is extreme gaping going on. the vest runs narrow  yet tall?it shifts up my torso if i move at all  making the gaping even worse.    the ""skirt"" at the bottom is made of a very cheap  thin  slightly sheeny material that you would find at a flea market. it arrived unbelievably wrinkled and crumpled  and it was just so thin. it did not meet as closely in the middl",Jackets
-1,"Runs extremely large. i got an xs and am 5'4"" 115lbs and this would have fit someone who typically wears a size 10-14 and is 5'6"" and above. very disappointed with the size. the quality of the fabric wasn't great either. i wanted it to work so bad but just didn't!",Jackets
-1,After reading the previous reviews i thought sizing down would be a great idea. as soon as i pulled it out of the bag i knew that the xs/s was still wayyy too big. for reference i am 5'3 and a 34ddd and usually wear an 8 but this thing was enormous. it was shapeless and boxy but done so horribly it looked like i was pregnant. it has an adjustable draw string at the bottom which helps to make you look like a balloon. such a disappointment. the design was lovely and it looked very high quality and,Jackets
-1,I didn't realize that the grey sleeves are attached (i assumed that was just an undershirt on the model). needless to say it looks cheap and poorly made. will be returning,Jackets
-1,This is a cute item at a good price point  though the lack of lining in cartonnier items drives me batty. unfortunately  the wool is so itchy i could not tolerate it more than a second.,Jackets
0,This jacket is cozy  warm  and very cute  but after the 1st washing (according to the manufacturer's instructions) it began to pill and has worsened each time.,Jackets
0,This was a fail for me. although i ordered size large it barely fit my midsection when tied and was too small in the waist. the fabric is nice though. best on thinner frames than mine.,Jackets
0,"This is a beautiful lined jacket  with a much more structured fit than a typical kimono. it hit me at the high hip  not low hip as shown on the model. given how structured it is  i don't think the ""one size"" will work for anyone larger than a small if you want a drapey kimono fit.",Jackets
0,At first i was interested. i liked the color  the soft tencel fabric  the cut in the back. it was all good. they didn't have my size in the store so i had to order it. when it arrived in the mail it was folded up and wrinkled. i tried it on and it looked like a lifeless unstructured blazer. i sent it back.   all in all  it is cute and fun for warm weather. it is definitely a casual blazer. i'd probably wait for a sale on this one.  it does run tts.,Jackets
0,"This vest looked so cute online. what you can't see however  is the vertical seaming under the arms does not have any fringe (about 3"" wide). that material in the seaming area looked like cheap polyester and it pulled slightly near the side pockets so it didn't lay nicely. also the top of the vest where it comes together also does not lay well and it falls awkwardly open - again showing the cheapy material that it's lined with. fits true to size. i usually wear a s/m in retailer and purchased the",Jackets
0,The color and design/style are cute but i found this to be too oversized. if you want to layer it  then it might be for you  but i was hoping for more of a tailored look.,Jackets
0,Beautiful sweater coat! love that is easy to pop on & head out. i did have to go to a seamstress and have the button moved as it was to large and boxy around my waist area.,Jackets
0,"I really  really wanted to love this jacket. unfortunately  i have a long torso and it was a weird length on me. it hit touching my waist and i wanted something a little longer. i am 5'6""  but long waisted. this probably fits beautifully on someone more short-waisted or petite in stature. it was beautiful (although the buttons were cheap...)",Jackets
0,The fit is quite strange on me as the tie is very high on the waist. this makes the jacket look odd and quite voluminous. i was very impressed with the fabric though but will have to return. i wish retailer would post what size is the model wearing. maybe she is wearing a larger size than usual which falls lower.,Jackets
1,"I have been a loyal retailer customer for at least 10 years now  so i don't say this lightly; this might be my favorite clothing purchase ever. the overall design is incredible. the feminine detail in the embroidery combined with the traditional bomber style is done so well. i somehow snagged a medium petite and it is absolutely perfect. there is enough room to fit a sweater underneath  but the sleeves and waist are the perfect length! something which is difficult to find at 5'2"". also  i must say",Jackets
1,I absolutely love this jacket. as a 36 year old woman  i want items that are on trend but don't look juvenile. this jacket hits the nail on the head for me.,Jackets
1,I absolutely love this vest. it fits extremely well and falls nicely. i find the collar/lapel billows or flaps out and away from the interior of the vest and i wish they were sewn or secured down. when you tie the string around your waist  the lapel doesn't lay flat  but if you style it like the online model and tie the string off to tighten around your waist  you get a very flattering look. the color and fabric is great quality and really nice in person. i'm overall really happy with this vest.,Jackets
1,Love this jacket so much! so comfy and great for traveling. i love the fit and the way it wears ,Jackets
1,"This jacket is a great fit and feels like a nice  comfortable addition to a professional/work wardrobe. it is very lightweight and fits somewhat loosely. i am 5""7 and 125 lbs and the small fits nicely. the only con is that there is not a way to secure down the top payer of the wrap )no snap  button  etc.).",Jackets
1,"This jacket feels like a throw blanket  but has shape and is appropriate to wear both casually or dressed up to make it profession enough to wear to the office. the jacket is bias cut and longer in the back to cover your rear. since it's fleece  the sleeves roll up easily and you can move around in it with ease. it has pockets big enough to carry your phone. i'm 5'7"" 135 with a small chest and i got the jacket in my normal size small and it's loose enough for me to wear layers underneath. if i w",Jackets
